Date Lifted,Exercise,Weight (kg),Weight (lb),Reps,Bodyweight (kg),Bodyweight (lb),Percentile (%),Warmup,Time (seconds),Distance (meters)
2026-08-18,Dumbbell Bench Press,22.7,50,10,70.6,155.6,35.4,0,,
2026-08-18,Dumbbell Bench Press,22.7,50,10,70.6,155.6,35.4,0,,
2026-08-18,Dumbbell Bench Press,22.7,50,10,70.6,155.6,35.4,0,,
2026-08-18,Seated Dumbbell Shoulder Press,22.7,50,10,70.6,155.6,52.5,0,,
2026-08-18,Seated Dumbbell Shoulder Press,22.7,50,10,70.6,155.6,52.5,0,,
2026-08-18,Seated Dumbbell Shoulder Press,22.7,50,10,70.6,155.6,52.5,0,,
2026-08-18,Hammer Press,20.4,45,10,70.6,155.6,37.1,0,,
2026-08-18,Hammer Press,20.4,45,10,70.6,155.6,37.1,0,,
2026-08-18,Hammer Press,20.4,45,10,70.6,155.6,37.1,0,,
2026-08-18,Push Ups,,,30,70.6,155.6,35.4,0,,
2026-08-18,Push Ups,,,25,70.6,155.6,27.9,0,,
2026-08-18,Push Ups,,,50,70.6,155.6,65.5,0,,
2026-08-18,Tricep Pushdown,23.8,52.5,12,70.6,155.6,22.3,0,,
2026-08-18,Tricep Pushdown,23.8,52.5,12,70.6,155.6,22.3,0,,
2026-08-18,Tricep Pushdown,23.8,52.5,12,70.6,155.6,22.3,0,,
2026-08-18,Dumbbell Lateral Raise,11.3,25,15,70.6,155.6,59.6,0,,
2026-08-18,Dumbbell Lateral Raise,11.3,25,15,70.6,155.6,59.6,0,,
2026-08-18,Dumbbell Lateral Raise,11.3,25,15,70.6,155.6,59.6,0,,
2026-08-18,Dumbbell Lateral Raise,11.3,25,15,70.6,155.6,59.6,0,,
2026-08-18,Lat Pulldown,47.6,105,15,70.6,155.6,40.4,0,,
2026-08-18,Lat Pulldown,47.6,105,15,70.6,155.6,40.4,0,,
2026-08-18,Lat Pulldown,47.6,105,15,70.6,155.6,40.4,0,,
2026-08-18,Lat Pulldown,47.6,105,15,70.6,155.6,40.4,0,,
2026-08-18,Seated Cable Row,47.6,105,10,70.6,155.6,27.8,0,,
2026-08-18,Seated Cable Row,47.6,105,10,70.6,155.6,27.8,0,,
2026-08-18,Seated Cable Row,47.6,105,10,70.6,155.6,27.8,0,,
2026-08-18,Seated Cable Row,47.6,105,10,70.6,155.6,27.8,0,,
2026-08-18,Pull Ups,,,2,70.6,155.6,8.1,0,,
2026-08-18,Pull Ups,,,2,70.6,155.6,8.1,0,,
2026-08-18,Pull Ups,,,2,70.6,155.6,8.1,0,,
2026-08-18,Pull Ups,,,2,70.6,155.6,8.1,0,,
2026-08-18,Face Pull,21.5,47.5,15,70.6,155.6,32.5,0,,
2026-08-18,Face Pull,21.5,47.5,15,70.6,155.6,32.5,0,,
2026-08-18,Face Pull,21.5,47.5,15,70.6,155.6,32.5,0,,
2026-08-18,Face Pull,21.5,47.5,15,70.6,155.6,32.5,0,,
2026-08-18,Incline Dumbbell Bench Press,22.7,50,12,70.6,155.6,40.1,0,,
2026-08-18,Incline Dumbbell Bench Press,22.7,50,12,70.6,155.6,40.1,0,,
2026-08-18,Incline Dumbbell Bench Press,22.7,50,12,70.6,155.6,40.1,0,,
2026-08-18,Standing Arnold Press,13.6,30,15,70.6,155.6,64.2,0,,
2026-08-18,Standing Arnold Press,13.6,30,15,70.6,155.6,64.2,0,,
2026-08-18,Standing Arnold Press,13.6,30,15,70.6,155.6,64.2,0,,
2026-08-18,Standing Arnold Press,13.6,30,15,70.6,155.6,64.2,0,,
2026-08-18,Cable Crunch,26.1,57.5,12,70.6,155.6,16.7,0,,
2026-08-18,Cable Crunch,26.1,57.5,12,70.6,155.6,16.7,0,,
2026-08-18,Cable Crunch,26.1,57.5,12,70.6,155.6,16.7,0,,
2026-08-18,Cable Crunch,26.1,57.5,12,70.6,155.6,16.7,0,,
2026-08-18,Dumbbell Curl,13.6,30,10,70.6,155.6,42.6,0,,
2026-08-18,Dumbbell Curl,13.6,30,10,70.6,155.6,42.6,0,,
2026-08-18,Dumbbell Curl,13.6,30,10,70.6,155.6,42.6,0,,
